year,science_spending,hanging_suicides,pool_fall_drownings,cage_films,cheese_percap,bed_deaths,maine_divorce_rate,margarine_percap,miss_usa_age,steam_murders,arcade_revenue,computer_science_doctorates,noncom_space_launches,sociology_doctorates,mozzarella_percap,civil_engineering_doctorates,fishing_drownings,kentucky_marriage_rate,oil_imports_norway,chicken_percap,train_collision_deaths,oil_imports_total,pool_drownings,nuclear_power,japanese_cars_sold,motor_vehicle_suicides,spelling_bee_word_length,spider_deaths,math_doctorates,uranium
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,66.1
1997,,,,,,,,,,,,,54,601,,,,,,,,,,,,,,,1123,65.9
1998,,,,,,,,,,,,,46,579,,,,,,,,,,,,,,,1177,65.8
1999,18079,5427,109,2,,,,,24,7,,,42,572,,,19,10.9,96,,76,,421,728.3,758,87,9,6,1083,58.3
2000,18594,5688,102,2,29.8,327,5,8.2,24,7,1.196,861,50,617,9.3,480,16,9.8,110,54.2,74,3.311,465,753.9,863,103,8,5,1050,54.8
2001,19753,6198,102,2,30.1,456,4.7,7,24,7,1.176,830,43,566,9.7,501,9,9,103,54,76,3.405,494,768.8,837,91,11,5,1010,55.6
2002,20734,6462,98,3,30.5,509,4.6,6.5,21,3,1.269,809,41,547,9.7,540,12,9,127,56.8,87,3.336,538,780.1,930,112,12,10,919,53.5
2003,20831,6635,85,1,30.6,497,4.4,5.3,22,4,1.24,867,46,597,9.7,552,15,9.1,60,57.5,66,3.521,430,763.7,830,104,11,8,993,45.6
2004,23029,7336,95,1,31.3,596,4.3,5.2,21,3,1.307,948,39,580,9.9,547,10,8.8,54,59.3,59,3.674,530,788.5,810,108,13,14,1076,57.7
2005,23597,7248,96,2,31.7,573,4.1,4,24,8,1.435,1129,37,536,10.2,622,11,8.7,43,60.5,63,3.67,511,782,923,113,12,10,1205,64.7
2006,23584,7491,98,3,32.6,661,4.2,4.6,22,4,1.601,1453,45,579,10.5,655,7,8.4,36,60.9,60,3.685,600,787.2,1154,137,9,4,1325,77.5
2007,25525,8161,123,4,33.1,741,4.2,4.5,20,2,1.654,1656,45,576,111,701,2,7.8,20,59.9,55,3.656,582,806.4,1183,131,9,8,1393,81.2
2008,27731,8578,94,1,32.7,809,4.2,4.2,19,3,1.803,1787,41,601,10.6,712,5,7.9,11,58.7,52,3.571,605,806.2,1142,129,7,5,1399,81.9
2009,29449,9000,102,4,32.8,717,4.1,3.7,22,2,1734,1611,54,644,10.6,708,1,7.6,22,56,46,3.307,603,798.9,829,104,9,6,,
2010,,,,,,,,,,,,,,,,,1,7.4,,,,,,,,,,,,
